class,raw_count,raw_min,raw_max,raw_mean,raw_std,raw_median,raw_p01,raw_p05,raw_p10,raw_p25,raw_p50,raw_p75,raw_p90,raw_p95,raw_p99,log10_1p_count,log10_1p_min,log10_1p_max,log10_1p_mean,log10_1p_std,log10_1p_median,log10_1p_p01,log10_1p_p05,log10_1p_p10,log10_1p_p25,log10_1p_p50,log10_1p_p75,log10_1p_p90,log10_1p_p95,log10_1p_p99
A,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
B,23165,0.009224884688941367,113.90267639902676,3.3138366978015084,5.509986365931995,1.7552447552447554,0.08366395494367958,0.40808873258487754,0.532068311195446,0.9383440986494422,1.7552447552447554,3.5403615991851285,6.641572285143238,10.836327345309382,29.374873353596758,23165,0.003987950475988033,2.060330144717802,0.5013810366045713,0.2944595765271441,0.44016018436051235,0.03489456570841753,0.14863002331301872,0.185278129861749,0.28743087636771053,0.44016018436051235,0.6570904419049364,0.8831827256579974,1.073216967497017,1.4825144758426239
C,46761,0.01227773073666387,448.2182614133834,6.2563795191534,13.859290450051997,3.3357972544878565,0.07807118254879453,0.49342038151586265,0.7733265720081137,1.6745029748947904,3.3357972544878565,6.608447488584474,12.617312072892938,21.10691823899371,48.90170875548163,46761,0.005299682838278831,2.652457402687064,0.6746342894786959,0.3543561710838357,0.6370689660312996,0.03264743725844773,0.17418207408442282,0.24878872170405233,0.42724308530438526,0.6370689660312996,0.8812960475817972,1.1340913904611405,1.3445282050353913,1.6981154171739057
M,23674,0.028795811518324554,253.50180072028812,18.450883302763316,23.083011483304727,11.188552188552189,0.15627123192443176,1.0792801556420235,2.2460480270302883,5.6517857142857135,11.188552188552189,22.237650200267023,42.38933320357786,57.568829593693145,121.66536964980546,23674,0.01232918746371799,2.4056908595219637,1.0829398326333823,0.4276182512827412,1.0859521212159533,0.0630510668946803,0.31791300874095335,0.5113549411587077,0.8229382500781112,1.0859521212159533,1.3661922099208408,1.63738203396678,1.7676665454198088,2.0887219719138246
X,3065,0.11983426016792063,1993.4427292374191,108.08931529377601,199.02110648650307,57.73737373737373,0.4788505004843398,3.542124542124542,10.244939271255062,28.394285714285715,57.73737373737373,128.51709169831796,211.4761298535964,266.9476351351351,871.9472774416595,3065,0.04915375015152689,3.299821569984907,1.737134938255396,0.5498778949446318,1.7689145244669173,0.16992427264708243,0.657259038121479,1.0509571143532395,1.4682629112298713,1.7689145244669173,2.112327083787681,2.3273101473032547,2.4280499283798416,2.940988014830893
