threshold_group,count,coverage_median,coverage_min,primary_source_count,secondary_source_count,satellite_distribution
C1_or_higher,257,0.97777778,0.04166667,257,0,"{""13"": 3, ""14"": 3, ""15"": 127, ""16"": 1, ""17"": 27, ""18"": 96}"
M1_or_higher,13,0.97222222,0.67569444,13,0,"{""15"": 10, ""17"": 1, ""18"": 2}"
