split,year,samples,exact_percent,adjacent_percent,severe_percent
train,2010,5592,89.02002861230329,6.706008583690987,4.2739628040057225
train,2011,7680,84.36197916666667,13.7109375,1.9270833333333333
train,2012,7704,82.33385254413292,14.265316718587746,3.4008307372793354
train,2013,7680,81.08072916666667,13.294270833333334,5.625
train,2014,7680,84.21875,14.205729166666666,1.5755208333333333
train,2015,7680,80.92447916666667,13.216145833333334,5.859375
train,2016,7704,77.73883696780894,11.396677050882658,10.86448598130841
train,2017,7680,79.07552083333333,8.697916666666666,12.2265625
train,2018,7680,84.89583333333333,11.510416666666666,3.59375
train,2019,7680,87.66927083333333,10.364583333333334,1.9661458333333333
validation,2011,408,92.8921568627451,7.107843137254902,0.0
validation,2012,408,73.77450980392157,22.30392156862745,3.9215686274509802
validation,2013,408,75.0,17.401960784313726,7.598039215686274
validation,2014,408,84.31372549019608,15.196078431372548,0.49019607843137253
validation,2015,408,89.70588235294117,4.166666666666667,6.127450980392157
validation,2016,408,81.37254901960785,17.15686274509804,1.4705882352941178
validation,2017,408,69.8529411764706,12.745098039215685,17.401960784313726
validation,2018,408,77.69607843137256,20.833333333333332,1.4705882352941178
validation,2019,408,73.03921568627452,22.058823529411764,4.901960784313726
test,2020,8784,89.93624772313296,6.4776867030965395,3.5860655737704916
test,2021,8760,95.17123287671232,2.2945205479452055,2.5342465753424657
test,2022,8760,98.48173515981735,1.1529680365296804,0.365296803652968
test,2023,8760,94.50913242009132,4.794520547945205,0.6963470319634704
test,2024,8784,97.52959927140255,2.2540983606557377,0.2163023679417122
leaky_validation,2011,672,87.05357142857143,12.202380952380953,0.7440476190476191
leaky_validation,2012,672,81.54761904761905,16.220238095238095,2.232142857142857
leaky_validation,2013,672,88.69047619047619,11.30952380952381,0.0
leaky_validation,2014,672,86.9047619047619,12.5,0.5952380952380952
leaky_validation,2015,672,79.61309523809524,18.898809523809526,1.4880952380952381
leaky_validation,2016,672,85.26785714285714,7.738095238095238,6.994047619047619
leaky_validation,2017,672,82.88690476190476,3.869047619047619,13.244047619047619
leaky_validation,2018,672,69.04761904761905,22.470238095238095,8.482142857142858
leaky_validation,2019,672,90.0297619047619,7.886904761904762,2.0833333333333335
