legacy_class,regenerated_class,row_percent
FQ,FQ,86.41249168504709
FQ,A,0.0
FQ,B,12.659734621713405
FQ,C,0.8367468403178938
FQ,M,0.09102685292161188
FQ,X,0.0
A,FQ,93.52857817666509
A,A,0.0
A,B,6.471421823334908
A,C,0.0
A,M,0.0
A,X,0.0
B,FQ,2.8977796694332127
B,A,0.0
B,B,80.75477051855005
B,C,16.311981272611195
B,M,0.03192168546499255
B,X,0.003546853940554728
C,FQ,0.39621538528157274
C,A,0.0
C,B,0.6408729729144564
C,C,90.7398185636651
C,M,8.186286184424189
C,X,0.03680689371468162
M,FQ,0.009652975529707033
M,A,0.0
M,B,0.03378541435397461
M,C,1.4431198416912012
M,M,95.83956754669627
M,X,2.673874221728848
X,FQ,0.0
X,A,0.0
X,B,0.0
X,C,0.19623233908948196
X,M,1.9623233908948194
X,X,97.8414442700157
