split,samples,exact_agreement,exact_percent,adjacent_disagreement,adjacent_percent,severe_disagreement,severe_percent
train,74760,62025,82.96548956661316,8880,11.87800963081862,3855,5.156500802568218
validation,3672,2928,79.73856209150327,567,15.441176470588236,177,4.8202614379084965
test,43848,41710,95.12406495165116,1489,3.395821930304689,649,1.4801131180441525
leaky_validation,6048,5047,83.44907407407408,760,12.566137566137566,241,3.98478835978836
