family,target,input_condition,event_definition,physical_threshold,physical_threshold_description,evaluation_split,n,n_positive,n_negative,TP,FP,TN,FN,precision_positive,recall_positive,POD,F1_positive,F1_macro,balanced_accuracy,specificity,FPR,FNR,TSS,HSS,AUROC,AUPRC,score_column
project1_qr,max_peak_flux,all13,M+,1e-05,M1,validation,2422,363,2059,230,289,1770,133,0.44315992292870904,0.6336088154269972,0.6336088154269972,0.5215419501133787,0.7075150437088852,0.7466247088305458,0.8596406022340942,0.14035939776590578,0.36639118457300274,0.4932494176610914,0.41907571288102263,0.8882431092683202,0.5490223081569632,q50_raw
project1_qr,max_peak_flux,all13,M+,1e-05,M1,test,27980,8596,19384,5345,3049,16335,3251,0.6367643554920182,0.6218008375988832,0.6218008375988832,0.6291936433195998,0.7337654128838184,0.7322530807887111,0.842705323978539,0.157294676021461,0.3781991624011168,0.4645061615774222,0.46756363882221696,0.853646842286395,0.6551196033361095,q50_raw
project1_qr,max_peak_flux,all13,M+,1e-05,M1,leaky_validation,3755,863,2892,652,460,2432,211,0.5863309352517986,0.7555040556199305,0.7555040556199305,0.660253164556962,0.7695123094690863,0.7982222906038795,0.8409405255878285,0.1590594744121715,0.24449594438006952,0.596444581207759,0.5416243921705177,0.8714588451940785,0.6414869001149556,q50_raw
project1_qr,max_peak_flux,all13,X+,0.0001,X1,validation,2422,31,2391,0,0,2391,31,0.0,0.0,0.0,0.0,0.49677955537087054,0.5,1.0,0.0,1.0,0.0,0.0,0.7734785013693825,0.026782276794338776,q50_raw
project1_qr,max_peak_flux,all13,X+,0.0001,X1,test,27980,968,27012,0,0,27012,968,0.0,0.0,0.0,0.0,0.4911987198137911,0.5,1.0,0.0,1.0,0.0,0.0,0.794424700133274,0.09333522182170009,q50_raw
project1_qr,max_peak_flux,all13,X+,0.0001,X1,leaky_validation,3755,60,3695,0,0,3695,60,0.0,0.0,0.0,0.0,0.4959731543624161,0.5,1.0,0.0,1.0,0.0,0.0,0.8577943166441137,0.09408720558207852,q50_raw
