target,best_epoch,best_val_pinball,final_val_pinball,test_pinball,q05_pinball,q50_pinball,q95_pinball,empirical_q05,empirical_q50,empirical_q95,crossing_q05_q50,crossing_q50_q95,crossing_q05_q95
max_peak_flux,2,0.12605004889919774,0.165684701242691,0.1072875833430402,0.0446697279017384,0.2059918385944339,0.0712011735915626,0.0231951393852751,0.4921015010721944,0.8992852037169407,0.0,0.0,0.0
cumulative_peak_flux,1,0.15046281045768795,0.1929124111569587,0.135790774616026,0.0701042812975327,0.2454760135727281,0.0917920182775266,0.0140100071479628,0.4667262330235883,0.8959256611865618,0.0,0.0002859185132237,0.0
max_rxfi,1,0.08503381232404197,0.1255771680885017,0.0837870308805824,0.0316735215660842,0.1640408225494667,0.0556467414461475,0.0071479628305932,0.43084345961401,0.9548606147248034,0.0,0.0,0.0
cumulative_rxfi,1,0.09826725140570806,0.1712591770565726,0.08929468820709,0.0431352777756734,0.1720921886881135,0.0526565899650397,0.0109006433166547,0.3241243745543175,0.9578627591136526,3.57398141529664e-05,3.57398141529664e-05,0.0
