target,target_label,cohort,n_test,spearman,spearman_pvalue,kendall_tau,r2,mae_transformed,rmse_transformed,iqr_transformed,normalized_mae_iqr,mae_raw,rmse_raw
max_peak_flux,QR-1 max peak flux,target-specific full-cohort comparison,27980,0.8256183858403984,0.0,0.6376450078636771,0.7752460240058969,0.4119836786436753,0.5320692696894542,1.68717701746,0.24418521256525041,1.3895278130011184e-05,4.913210750895135e-05
cumulative_peak_flux,QR-2 cumulative peak flux,target-specific full-cohort comparison,27980,0.8592738388084236,0.0,0.6719653096507155,0.7389919868971127,0.4909520276283349,0.7481289084851225,1.98860060953,0.24688317265696202,3.2313913539385896e-05,8.849745253589099e-05
max_rxfi,QR-3 max RXFI,target-specific full-cohort comparison,27980,0.5093959718439323,0.0,0.3586136000533909,0.09301706041409497,0.3280816438760678,0.4756398725014173,0.682436038615,0.4807507595025427,7.60638988911475,21.716662457180355
cumulative_rxfi,QR-4 cumulative RXFI,target-specific full-cohort comparison,27980,0.5756435795034379,0.0,0.41234183070259617,0.31821401312340203,0.3441843781556113,0.48945094007807916,0.855561749412,0.40229051660170423,13.030969797703342,30.54023112474958
