input,n_test,macro_f1,balanced_accuracy,m_recall,x_recall,spearman,r2,mae_iqr,mplus_auprc,mplus_auroc,xplus_auprc,xplus_auroc
hmi_m,27980,0.3738373173530727,0.43268030948053643,0.01599370739381227,0.0,0.8061538665557653,0.6418179145802276,0.3057000216023066,0.6366201420822303,0.841702715508293,0.08584507284973189,0.7766855112144833
aia131,27980,0.4630157119101221,0.48321634248149126,0.252884111169376,0.0,0.8178660385450812,0.7425286673612939,0.2618505831402505,0.6644925999945711,0.8526968880226662,0.10953038611247395,0.7953150489895522
aia193,27980,0.4239604574235368,0.4555198731523971,0.1409281594126901,0.0,0.7526286500172581,0.6204769608900889,0.3362438919817697,0.6056766678830799,0.808158985204033,0.07329264681052586,0.7586235395226854
all13,27980,0.40464289246572277,0.4259280503896875,0.2435762978500262,0.010330578512396695,0.8565956968176841,0.7660309846131486,0.23656160978120638,0.7218420533836563,0.8784630575902526,0.12145957951329898,0.8239561495778429
