baseline,delta_macro_f1_observed,delta_balanced_accuracy_observed,delta_m_recall,delta_x_recall
hmi_m,0.030805575112650085,-0.006752259090848922,0.22758259045621393,0.010330578512396695
aia131,-0.058372819444399315,-0.05728829209180375,-0.009307813319349767,0.010330578512396695
aia193,-0.019317564957814004,-0.029591822762709608,0.10264813843733611,0.010330578512396695
