split,selected_epoch,pinball_loss,mae_q50,pinball_q05,fraction_target_le_q05,pinball_q50,fraction_target_le_q50,pinball_q95,fraction_target_le_q95,cross_q05_gt_q50,cross_q50_gt_q95,cross_q05_gt_q95,rmse_q50,channel_configuration
test,3,0.1554097505745673,0.6079152492389583,0.0746287578084453,0.0147248034310221,0.3039576245001846,0.3090421729807005,0.087642856596505,0.8866333095238327,0.0,0.0,0.0,0.876398139032305,hmi_m
test,2,0.1366339547899129,0.5207162292622258,0.0746906820807161,0.0391350964974982,0.2603581149208281,0.3948892065761258,0.0748530551228004,0.9047176554852336,0.0,0.0,0.0,0.7430430175396301,aia131
test,2,0.1710359967355646,0.6686548084169732,0.0887581511032504,0.0299142244460328,0.334327404310739,0.3423159399571122,0.0900224191555387,0.880879199436684,0.0,0.0,0.0,0.902128884725638,aia193
test,3,0.1301869374740498,0.4704265614336435,0.0703260620356969,0.0251608291636883,0.2352132812280839,0.4896711937097927,0.0850214590891673,0.867047891359486,0.0,0.0273409578270193,0.0,0.7083186703873472,all13
